Currency,StartTime,EndTime,Days,Open,Close,High,Low,TradeValue,DailyTradeValue,TradeValue1Y,DailyTradeValue1Y
ctkusd,1613898480000,1640955120000,313,6,1.6631,6,0.72,5091149.94080574,16265.6547629576,5091149.94080574,13948.3560022075
veeusd,1527791160000,1640908380000,1309,0.036,0.00973,0.03949,0.00026165,6542454.86491866,4998.05566456735,4992004.8666192,13676.7256619704
wtcusd,1540955820000,1616829540000,878,3.5299,1.56,15.153,0.21511,6778485.92251249,7720.37121015091,4879613.57437856,13368.8043133659
near-usd,1628623320000,1630242840000,18,2.8113,5.9681,6.5684,2.8024,4876292.30196429,270905.127886905,4876292.30196429,13359.7049368885
pnkusd,1542135480000,1640948340000,1143,0.0079574,0.119,0.3782,0.001207,5325591.93906878,4659.31053286858,4561279.00801647,12496.6548164835
terraust-usd,1628645280000,1630216860000,18,1.0001,1.0024,1.0094,0.95,4466050.55985218,248113.919991788,4466050.55985218,12235.7549584991
repusd,1517467800000,1640945280000,1429,69.342,18.192,88,6.0338,23212469.5909306,16243.8555569843,4425916.80061336,12125.7994537352
bftusd,1523116860000,1640946300000,1363,0.13,0.01286,0.3699,0.0038,50379294.3560759,36962.0648247072,3885676.12859997,10645.6880235616
aixusd,1635411900000,1640954880000,64,0.1,0.022128,0.1,0.019,3866075.25960813,60407.4259313771,3866075.25960813,10591.987012625
lymusd,1527783900000,1640896860000,1309,1,0.0092321,1,0.0012102,14264812.6282685,10897.4886388606,3818795.2565557,10462.4527576868
crvusd,1638364080000,1640955180000,29,10,5.5309,10,3.2,3739417.7917346,128945.441094297,3739417.7917346,10244.9802513277
vsyusd,1547815920000,1640949300000,1077,0.2888,0.019485,0.2888,0.001805,11349923.0913344,10538.4615518425,3657216.24349672,10019.770530128
rbtusd,1544533500000,1640948520000,1115,6799,48303,68953,2080,4343507.96742862,3895.52284074315,3436112.95899687,9414.00810684074
wbtusd,1556909160000,1640949840000,972,10800,48194,78000,1001,3523053.62689686,3624.5407684124,3278487.52937409,8982.15761472352
uopusd,1608292980000,1640954220000,378,0.31,0.12018,0.59627,0.0712,4052792.77632476,10721.6740114412,2899421.7119382,7943.62112859782
bmiusd,1617367800000,1640943480000,272,5,0.25362,15.15,0.1948,2791448.19991807,10262.6772055811,2791448.19991807,7647.80328744677
kanusd,1560866340000,1640950020000,926,0.004,0.001921,0.012,0.000286,3604193.03947393,3892.21710526342,2765505.29279606,7576.72682957824
1inch-usd,1628623620000,1630242840000,18,2.7621,3.1806,3.6068,2.7055,2746545.59181048,152585.866211693,2746545.59181048,7524.78244331638
gnousd,1555507800000,1640949720000,988,30,580.17,633.57,4.0318,3056362.77846601,3093.48459358908,2730062.7479641,7479.62396702494
nexo-usd,1628623140000,1630242720000,18,1.9846,1.839,2.0908,1.7008,2457226.73695536,136512.59649752,2457226.73695536,6732.12804645304
sngusd,1518367200000,1633428540000,1331,0.13988,0.0004021,0.15989,0.0004,46116686.3689452,34648.1490375246,2313380.02765496,6338.0274730273
waves-usd,1628623140000,1630243080000,18,17.427,24.77,27.418,17.391,2112927.04311151,117384.835728417,2112927.04311151,5788.84121400415
rifusd,1547546940000,1616781240000,801,0.99,0.329,1.1,0.026061,7988645.68231129,9973.34042735491,2025873.39046395,5550.33805606562
boson-usd,1628623080000,1630243080000,18,1.0547,1.7237,2.1951,1.0243,1812060.77450616,100670.04302812,1812060.77450616,4964.55006714017
gotusd,1537273020000,1640947740000,1199,0.56105,0.070699,1.004,0.011538,20796023.0005388,17344.4728945278,1766867.35598786,4840.73248215853
xaut-usd,1628623380000,1630242960000,18,1730.3,1816.5,1819,1729.1,1423917.55131061,79106.530628367,1423917.55131061,3901.14397619344
odeusd,1523116200000,1640924280000,1363,0.1,0.0025,0.539,0.0008811,18469119.5365221,13550.3444875437,1410745.96875683,3865.05744864885
rrtusd,1476124200000,1640942400000,1907,1,0.13799,1,0.00311,50509703.601568,26486.4727853005,1388613.33342397,3804.42009157251
exrd-usd,1628623140000,1628977920000,4,0.14508,0.14818,0.14996,0.1337,1382395.4380272,345598.859506801,1382395.4380272,3787.38476171836
qshusd,1512307200000,1640944260000,1488,1.018,0.0515,2.4527,0.026262,305715431.287822,205453.918876225,1294060.96426039,3545.372504823
band-usd,1628623080000,1630242660000,18,8.3619,9.4426,10.346,7.4426,1124196.98335891,62455.3879643838,1124196.98335891,3079.99173522988
rrbusd,1564392000000,1633541400000,800,0.98,1.0003,1.8799,0.63058,2345257.7520138,2931.57219001725,975095.999384739,2671.49588872531
genusd,1555530420000,1616830860000,709,0.35,0.20001,0.50338,0.0042307,1789888.3828168,2524.52522259069,956756.87172157,2621.25170334677
dgxusd,1535044080000,1624028700000,1029,40.6,51.617,400,2.6074,5440537.84954099,5287.20879450048,953771.542412748,2613.07271893904
bchabc-usd,1629281700000,1630243020000,11,5.5E-05,8.467E-05,0.0001209,4.168E-05,940283.856392667,85480.3505811515,940283.856392667,2576.12015450046
poausd,1526657760000,1624028400000,1126,0.5975,0.032573,0.628,0.0073503,1396958.23844843,1240.63786718333,800982.086012581,2194.47146852762
yywusd,1512148680000,1624028400000,1294,0.074,0.018201,0.86,0.0047999,373247434.555223,288444.694401255,799566.778811075,2190.59391455089
dvfusd,1640081580000,1640953560000,10,7.9265,6.9514,8.0717,6.7619,780578.327868482,78057.8327868482,780578.327868482,2138.57076128351
pasusd,1547732160000,1640913960000,1078,0.21,0.0025,0.21,0.0001,3805419.08735279,3530.07336489127,606772.711340897,1662.39098997506
ctxusd,1530211200000,1616788440000,1002,0.85,0.4113,2.89,0.0237,1171174.34936247,1168.83667601044,540887.040572269,1481.88230293772
suku-usd,1628645400000,1630243080000,18,0.19646,0.72325,0.72325,0.1917,490228.141761731,27234.8967645406,490228.141761731,1343.09079934721
okbusd,1560422100000,1616825400000,652,1.48,11.3,186,1.26,854389.325552356,1310.41307600055,483425.176655328,1324.45253878172
dusk-usd,1628626740000,1630242420000,18,0.14217,0.16299,0.1775,0.1356,438255.247127456,24347.5137293031,438255.247127456,1200.69930719851
